route	signal	notes	paths
shared	parity:residual-han	6	agentic-rl/lecture05/lecture05-notes.es-mx.tex interviews/ungrounded/gui-agent-next-stop/gui-agent-next-stop-notes.es-mx.tex interviews/ungrounded/zhao-chenyang-sglang/zhao-chenyang-sglang-notes.es-mx.tex llm-architect/lecture09/lecture09-notes.es-mx.tex talks/aitime/lin-junyang-agent/lin-junyang-agent-notes.es-mx.tex talks/aitime/yao-shunyu-agi/yao-shunyu-agi-notes.es-mx.tex
shared	prose:forbidden:correr el	2	interviews/ungrounded/gui-agent-next-stop/gui-agent-next-stop-notes.es-mx.tex llm-architect/lecture09/lecture09-notes.es-mx.tex
local	compile:missing-glyph:han	1	talks/aitime/lin-junyang-agent/lin-junyang-agent-notes.es-mx.tex
local	prose:english:pipeline	1	talks/aitime/lin-junyang-agent/lin-junyang-agent-notes.es-mx.tex
local	prose:english:pull	1	interviews/ungrounded/zhao-chenyang-sglang/zhao-chenyang-sglang-notes.es-mx.tex
local	prose:english:requests	1	interviews/ungrounded/zhao-chenyang-sglang/zhao-chenyang-sglang-notes.es-mx.tex
local	prose:english:throughput	1	agentic-rl/lecture05/lecture05-notes.es-mx.tex
local	prose:forbidden:la clave está en	1	talks/aitime/zhang-bo-agi/zhang-bo-agi-notes.es-mx.tex
local	prose:invented:agencialidad	1	talks/aitime/zhang-bo-agi/zhang-bo-agi-notes.es-mx.tex
local	prose:invented:auditabilidad	1	interviews/ungrounded/gui-agent-next-stop/gui-agent-next-stop-notes.es-mx.tex
local	prose:invented:composicionalidad	1	talks/qingke/qingke-rl/qingke-rl-notes.es-mx.tex
local	prose:invented:coptimización	1	talks/qingke/qingke-rl/qingke-rl-notes.es-mx.tex
local	prose:invented:heterogeneización	1	talks/qingke/qingke-infra/qingke-infra-notes.es-mx.tex
local	prose:invented:omnimodalidad	1	talks/aitime/lin-junyang-agent/lin-junyang-agent-notes.es-mx.tex
local	prose:invented:reescalamiento	1	llm-architect/lecture01/lecture01-notes.es-mx.tex
