chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	37	2088	12	21116	104199	6274
000.zh.tex	4	690	4	5812	19240	889
001.zh.tex	349	1773	6	9217	32270	3908
002.zh.tex	798	3902	4	6632	19240	2055
003.zh.tex	615	2983	4	6333	19240	1558
004.zh.tex	678	3874	4	6757	19240	2206
005.zh.tex	651	3628	6	7131	33018	5583
006.zh.tex	449	2477	6	6527	32438	1652
007.zh.tex	488	2512	4	6111	19240	1334
008.zh.tex	496	2395	4	6097	19240	1307
009.zh.tex	2053	9894	8	13549	53348	15489
010.zh.tex	1031	5317	6	8131	34011	3420
011.zh.tex	1352	6695	4	7639	19240	8440
012.zh.tex	917	4669	4	7090	19240	2641
013.zh.tex	748	3988	4	6677	19240	2138
014.zh.tex	316	1839	4	6078	19240	1107
head.zh.tex	45	2399	12	15143	93849	5509
000.zh.tex	4	497	4	5656	19238	576
001.zh.tex	825	0	16	13401	111679	3516
002.zh.tex	2067	8490	12	11059	83880	24921
003.zh.tex	1918	7525	14	18685	109033	13220
004.zh.tex	1823	7538	8	8740	49728	16333
005.zh.tex	1683	0	16	22083	119459	4122
006.zh.tex	1815	0	6	8319	31603	11570
007.zh.tex	1513	6437	12	9842	77316	4003
008.zh.tex	2208	0	0	0	0	0
009.zh.tex	1757	0	0	0	0	0
010.zh.tex	1723	0	0	0	0	0
011.zh.tex	2509	0	0	0	0	0
012.zh.tex	997	0	0	0	0	0
head.zh.tex	25	0	0	0	0	0
000.zh.tex	4	0	0	0	0	0
001.zh.tex	426	0	0	0	0	0
002.zh.tex	908	0	0	0	0	0
003.zh.tex	254	0	0	0	0	0
004.zh.tex	951	0	0	0	0	0
005.zh.tex	370	0	0	0	0	0
006.zh.tex	331	0	0	0	0	0
007.zh.tex	283	0	0	0	0	0
008.zh.tex	212	0	0	0	0	0
009.zh.tex	807	0	0	0	0	0
010.zh.tex	854	0	0	0	0	0
011.zh.tex	309	0	0	0	0	0
