chunk	han	letters	input	cache_creation	cache_read	output
head.zh.tex	18	2228	12	22347	111885	4276
004.zh.tex	1422	5975	14	12077	102885	15546
005.zh.tex	1355	0	16	19367	148374	4514
006.zh.tex	1169	5772	10	9343	65178	3581
007.zh.tex	690	3306	6	7068	33011	5522
008.zh.tex	818	3683	10	17670	63627	11817
009.zh.tex	996	4887	4	7151	19344	8498
010.zh.tex	779	3160	4	6621	19344	6721
011.zh.tex	991	3648	4	6790	19344	2037
012.zh.tex	423	2295	4	6311	19344	6903
head.zh.tex	25	2210	8	20610	60706	2968
000.zh.tex	4	688	4	5909	19344	699
001.zh.tex	435	1955	6	6558	32525	1525
002.zh.tex	1020	4303	4	6871	19344	2263
003.zh.tex	1594	6979	8	8425	49385	14306
004.zh.tex	1117	4781	4	7068	19344	2492
005.zh.tex	1448	6017	6	8150	34041	3543
006.zh.tex	1252	0	16	10971	116792	2395
007.zh.tex	1389	5826	4	7431	19344	3171
008.zh.tex	692	2887	4	6453	19344	1577
009.zh.tex	690	3300	4	6556	19344	1799
